ItemID,ItemName,Price,Type
1,Boudin noir,34.33,Vegan
2,Naan,45.66,Veg
3,Kedgeree,28.91,Veg
4,Truffle,59.05,Veg
5,Kedgeree,47.32,Veg
6,Salsiccia,53.43,Vegan
7,Irish stew,46.64,Non-Veg
8,Pate chinois,46.79,Non-Veg
9,Potato chips,32.44,Non-Veg
10,Gyro,43.93,Veg
11,Mulligatawny soup,25.65,Non-Veg
12,Steak,32.56,Veg
13,Vegetable curry,17.35,Non-Veg
14,Risotto,59.77,Veg
15,Waldorf salad,54.79,Non-Veg
16,Nicoise salad,58.05,Veg
17,Sweet potato pie,11.98,Veg
18,Steamed lobster,16.56,Veg
19,Hungarian goulash,31.59,Non-Veg
20,Sticky toffee pudding,41.39,Non-Veg
21,Funnel cake,54.5,Veg
22,Churros,54.99,Vegan
23,Gravlax,25.29,Non-Veg
24,Worcestershire sauce,18.99,Non-Veg
25,Falafel,43.85,Non-Veg
26,Yum cha,25.12,Non-Veg
27,Feijoada,45.4,Veg
28,Asam laksa,42.63,Non-Veg
29,Quesadilla,19.4,Non-Veg
30,Saimin,54.02,Non-Veg
31,Smorrebrod,43.33,Non-Veg
32,General Tso's chicken,47.69,Non-Veg
33,Worcestershire sauce,59.49,Veg
34,Pierogi,49.68,Veg
35,Morcon,43.41,Non-Veg
36,Hoisin sauce,30.6,Non-Veg
37,Biltong,24.98,Veg
38,Nicoise salad,52.47,Vegan
39,Lemon chicken,15.84,Non-Veg
40,Steamed buns,39.02,Vegan
41,Squash casserole,33.79,Non-Veg
42,Waffles,36.09,Vegan
43,Ponzu sauce,51.99,Vegan
44,Katsuobushi,34.32,Vegan
45,Avgolemono,53.22,Non-Veg
46,Sauerbraten,23.04,Non-Veg
47,Mamaliga,17.75,Vegan
48,Montadito,52.94,Vegan
49,Locro,18.98,Veg
50,Mee siam,21.44,Veg
51,Mafe,59.78,Vegan
52,Tea-smoked duck,39.77,Vegan
53,Banh mi,30.04,Veg
54,Cucumber salad,36.07,Veg
55,Lomo saltado,59.73,Vegan
56,Espetada,31.25,Non-Veg
57,Worcestershire sauce,32.07,Non-Veg
58,Biltong,49.46,Non-Veg
59,Cannoli,34.93,Non-Veg
60,Fondue,58.07,Vegan
61,Ramen,30.42,Vegan
62,Biryani,16.46,Non-Veg
63,Quiche,33.19,Vegan
64,Saikoro steak,21.45,Veg
65,Za'atar,33.63,Veg
66,Pappardelle al ragu,36.64,Veg
67,Sweet potato casserole,46.92,Vegan
68,Nikujaga,44.09,Vegan
69,Chicken parmigiana,14.71,Non-Veg
70,Croissant,40.47,Vegan
71,Yakitori,20.73,Veg
72,Rueben,44.24,Vegan
73,Lau lau,56.8,Non-Veg
74,Shakshuka,30.64,Vegan
75,Seared scallops,24.95,Vegan
76,Veal Oscar,26.77,Non-Veg
77,Kibbeh nayeh,46.11,Veg
78,Tagine,53.75,Non-Veg
79,Potato chips,57.33,Vegan
80,Meatballs,20.31,Non-Veg
81,Croissant,17.14,Non-Veg
82,Moambe,16.46,Vegan
83,Chirashi sushi,47.21,Vegan
84,Fufu and soup,32.11,Vegan
85,Chirashi sushi,59.51,Vegan
86,Spatzle,40.43,Non-Veg
87,Nems,41.94,Vegan
88,Jamaican jerk chicken,58.83,Vegan
89,Popcorn,48.94,Veg
90,Meatballs,50.75,Veg
91,Katsuobushi,12.63,Veg
92,Vichyssoise,50.23,Veg
93,Efo riro,23.32,Veg
94,Turkish pizza,41.62,Non-Veg
95,Zurek,32.19,Non-Veg
96,Cannoli,10.96,Veg
97,Briyani,23.6,Vegan
98,Wild mushroom risotto,48.81,Vegan
99,Tarte flambee,59.45,Veg
100,Xoi,12.74,Veg
101,Yakitori,40.12,Vegan
102,Cheesecake,22.88,Vegan
103,Meat pie,17.84,Vegan
104,Seared scallops,58.86,Veg
105,Zhajiang noodles,34.04,Veg
106,Frittata,30.6,Non-Veg
107,Gallo pinto,51.67,Non-Veg
108,Baba ghanoush,39.42,Vegan
109,Akara,34.76,Veg
110,Pakora,34.78,Vegan
111,Crepe,18.22,Non-Veg
112,Goulash,10.37,Veg
113,Bacalhau a bras,25.13,Veg
114,Pudding,33.49,Vegan
115,Risotto,41.01,Veg
116,Udon,18.06,Veg
117,Chowder,29.77,Non-Veg
118,Shish kebab,40.97,Non-Veg
119,Enchiladas,41.49,Vegan
120,Falafel,50.7,Non-Veg
121,Kachori,59.98,Veg
122,Stollen,51.95,Non-Veg
123,Cucumber salad,30.04,Vegan
124,T-bone steak,55.76,Non-Veg
125,Samosas,21.77,Veg
126,Shrimp cocktail,36.58,Veg
127,Cucumber salad,24.57,Non-Veg
128,Borek,56.82,Veg
129,Dosas,28.4,Veg
130,Konigsberger Klopse,44.71,Non-Veg
131,Lomo saltado,56.94,Non-Veg
132,Carne asada,10.54,Veg
133,Scrambled eggs,10.18,Non-Veg
134,Konigsberger Klopse,45.7,Vegan
135,Torta,43.91,Vegan
136,Chana masala,40.26,Non-Veg
137,Fish tacos,14.13,Veg
138,Dak galbi,37.31,Veg
139,Cassoulet,53.34,Vegan
140,Burrito,47.13,Non-Veg
141,Orange chicken,21.35,Veg
142,Pemmican,56.94,Veg
143,Vichyssoise,46.41,Vegan
144,Asam laksa,52.35,Veg
145,Ponzu sauce,19.62,Veg
146,Scrambled eggs,45.18,Veg
147,Scrambled eggs,40.98,Veg
148,Mango sticky rice,59.29,Vegan
149,Zigong-style boiled fish,18.1,Vegan
150,Mac and cheese,57.9,Vegan
151,Dal makhani,55.05,Veg
152,Puff pastry,14.62,Vegan
153,Hot chicken,46.36,Vegan
154,Greek salad,49.67,Vegan
155,Quesadilla,51.86,Vegan
156,Ratatouille,15.82,Non-Veg
157,Mee siam,53.97,Vegan
158,Migas,18.97,Non-Veg
159,Hungarian goulash,47.93,Non-Veg
160,Masala chai,52.11,Non-Veg
161,Montadito,58.72,Non-Veg
162,Spicy tuna roll,21.68,Non-Veg
163,Onion soup,15.86,Vegan
164,Yellow curry,33.6,Non-Veg
165,Stuffed vine leaves,48.32,Non-Veg
166,Chirashi sushi,36.86,Non-Veg
167,Veal Oscar,56.65,Vegan
