orderdetailid,orderid,itemid,PreparationTime,DeliveryTime,TotalTime
1,1,274,31,105,136
2,2,320,23,69,92
3,3,132,27,44,71
4,4,114,24,41,65
5,5,220,45,91,136
6,6,433,34,94,128
7,7,131,33,40,73
8,8,283,42,99,141
9,9,248,32,28,60
10,10,355,54,117,171
11,11,420,40,32,72
12,12,66,47,81,128
13,13,468,51,98,149
14,14,156,16,58,74
15,15,9,55,92,147
16,16,79,42,75,117
17,17,476,60,75,135
18,18,380,21,93,114
19,19,68,56,44,100
20,20,311,60,46,106
21,21,424,60,77,137
22,22,88,13,36,49
23,23,158,47,120,167
24,24,425,37,52,89
25,25,145,38,110,148
26,26,349,28,34,62
27,27,302,21,108,129
28,28,31,22,81,103
29,29,152,30,90,120
30,30,383,29,92,121
31,31,389,14,27,41
32,32,151,18,86,104
33,33,366,26,112,138
34,34,477,25,39,64
35,35,451,39,108,147
36,36,464,35,107,142
37,37,393,51,63,114
38,38,119,42,33,75
39,39,250,27,58,85
40,40,347,34,87,121
41,41,201,37,78,115
42,42,470,49,92,141
43,43,328,51,15,66
44,44,189,51,75,126
45,45,205,46,113,159
46,46,49,59,114,173
47,47,244,16,101,117
48,48,308,19,46,65
49,49,56,46,82,128
50,50,355,18,97,115
51,51,285,52,80,132
52,52,9,51,103,154
53,53,388,44,77,121
54,54,287,42,67,109
55,55,225,26,20,46
56,56,265,13,63,76
57,57,25,39,111,150
58,58,138,19,69,88
59,59,305,35,59,94
60,60,8,39,88,127
61,61,461,35,30,65
62,62,206,29,118,147
63,63,253,19,100,119
64,64,352,26,21,47
65,65,165,17,103,120
66,66,65,23,65,88
67,67,311,38,64,102
68,68,88,48,89,137
69,69,433,33,87,120
70,70,300,16,77,93
71,71,415,41,119,160
72,72,261,49,25,74
73,73,468,49,120,169
74,74,66,20,39,59
75,75,397,29,27,56
76,76,291,53,67,120
77,77,386,26,35,61
78,78,440,32,77,109
79,79,390,13,42,55
80,80,243,40,69,109
81,81,51,13,48,61
82,82,26,60,63,123
83,83,82,14,100,114
84,84,124,55,117,172
85,85,377,23,55,78
86,86,392,55,66,121
87,87,236,14,114,128
88,88,55,53,114,167
89,89,365,41,48,89
90,90,233,60,115,175
91,91,228,13,76,89
92,92,121,50,42,92
93,93,129,56,58,114
94,94,284,55,117,172
95,95,192,39,44,83
96,96,130,57,17,74
97,97,60,41,58,99
98,98,311,29,37,66
99,99,171,60,107,167
100,100,367,41,80,121
101,101,18,37,35,72
102,102,314,47,82,129
103,103,474,29,87,116
104,104,90,12,43,55
105,105,422,28,78,106
106,106,63,48,41,89
107,107,249,31,89,120
108,108,401,27,110,137
109,109,202,10,55,65
110,110,474,42,107,149
111,111,254,24,90,114
112,112,169,47,33,80
113,113,41,52,62,114
114,114,456,43,34,77
115,115,409,30,21,51
116,116,321,26,66,92
117,117,307,23,100,123
118,118,388,31,34,65
119,119,348,37,22,59
120,120,479,48,114,162
121,121,453,24,47,71
122,122,189,56,43,99
123,123,272,13,71,84
124,124,323,10,28,38
125,125,145,23,118,141
126,126,192,38,58,96
127,127,270,13,79,92
128,128,80,57,15,72
129,129,413,27,33,60
130,130,71,18,24,42
131,131,43,17,112,129
132,132,4,51,32,83
133,133,339,49,97,146
134,134,222,47,90,137
135,135,396,20,49,69
136,136,20,55,71,126
137,137,308,51,48,99
138,138,244,31,95,126
139,139,138,10,56,66
140,140,19,57,115,172
141,141,111,30,108,138
142,142,360,24,93,117
143,143,264,32,77,109
144,144,394,45,69,114
145,145,100,35,72,107
146,146,141,21,37,58
147,147,468,25,59,84
148,148,44,39,18,57
149,149,150,50,119,169
150,150,39,23,65,88
151,151,114,33,40,73
152,152,185,21,57,78
153,153,387,48,105,153
154,154,290,25,91,116
155,155,140,15,88,103
156,156,266,16,24,40
157,157,153,29,43,72
158,158,298,41,17,58
159,159,296,14,113,127
160,160,72,48,37,85
161,161,467,27,64,91
162,162,323,43,34,77
163,163,188,38,62,100
164,164,356,33,64,97
165,165,402,13,66,79
166,166,213,12,45,57
167,167,443,17,47,64
168,168,160,47,54,101
169,169,263,57,39,96
170,170,477,53,72,125
171,171,248,32,91,123
172,172,129,60,87,147
173,173,223,41,102,143
174,174,474,35,105,140
175,175,131,21,61,82
176,176,230,31,44,75
177,177,59,33,79,112
178,178,204,57,64,121
179,179,137,38,65,103
180,180,231,34,107,141
181,181,120,54,43,97
182,182,367,53,98,151
183,183,328,27,35,62
184,184,84,14,65,79
185,185,25,32,45,77
186,186,404,15,48,63
187,187,469,60,50,110
188,188,391,21,115,136
189,189,75,31,84,115
190,190,248,26,21,47
191,191,257,20,17,37
192,192,317,28,24,52
193,193,96,42,20,62
194,194,164,16,62,78
195,195,330,36,74,110
196,196,240,51,53,104
197,197,459,14,15,29
198,198,262,51,21,72
199,199,396,20,40,60
200,200,210,59,66,125
201,201,114,39,71,110
202,202,266,43,61,104
203,203,67,49,71,120
204,204,414,36,67,103
205,205,473,53,76,129
206,206,125,41,24,65
207,207,365,12,111,123
208,208,390,20,119,139
209,209,195,39,94,133
210,210,430,39,96,135
211,211,330,27,20,47
212,212,290,31,115,146
213,213,314,60,42,102
214,214,443,23,21,44
215,215,252,49,87,136
