ReviewID,OrderID,DeliveryRating,FoodRating
1,1,1,5
2,2,3,3
3,3,1,3
4,4,5,5
5,5,3,2
6,6,4,1
7,7,1,1
8,8,4,5
9,9,3,5
10,10,1,1
11,11,2,2
12,12,3,1
13,13,1,4
14,14,3,3
15,15,3,1
16,16,2,4
17,17,2,5
18,18,4,5
19,19,1,5
20,20,2,3
21,21,2,1
22,22,1,5
23,23,1,1
24,24,5,5
25,25,4,1
26,26,3,1
27,27,5,1
28,28,5,4
29,29,2,3
30,30,1,4
31,31,5,2
32,32,4,4
33,33,1,4
34,34,1,4
35,35,5,5
36,36,3,4
37,37,4,3
38,38,1,3
39,39,1,4
40,40,3,3
41,41,3,3
42,42,2,2
43,43,1,3
44,44,,
45,45,5,1
46,46,4,4
47,47,2,4
48,48,3,1
49,49,4,4
50,50,1,4
51,51,,
52,52,3,1
53,53,2,1
54,54,,
55,55,3,2
56,56,1,4
57,57,4,5
58,58,5,5
59,59,3,2
60,60,3,5
61,61,5,5
62,62,3,4
63,63,5,3
64,64,2,1
65,65,3,1
66,66,2,2
67,67,4,5
68,68,1,5
69,69,4,2
70,70,3,4
71,71,1,4
72,72,3,5
73,73,5,3
74,74,4,5
75,75,4,1
76,76,5,3
77,77,5,5
78,78,2,1
79,79,4,4
80,80,2,5
81,81,3,4
82,82,2,1
83,83,4,2
84,84,5,4
85,85,4,5
86,86,5,5
87,87,2,2
88,88,3,3
89,89,2,2
90,90,4,4
91,91,1,3
92,92,1,4
93,93,4,2
94,94,3,3
95,95,3,3
96,96,2,4
97,97,3,4
98,98,1,4
99,99,1,5
100,100,5,2
101,101,5,3
102,102,3,1
103,103,2,5
104,104,2,5
105,105,2,2
106,106,,
107,107,5,5
108,108,3,2
109,109,2,5
110,110,2,1
111,111,,
112,112,4,4
113,113,4,4
114,114,3,4
115,115,5,2
116,116,3,1
117,117,5,4
118,118,4,4
119,119,1,2
120,120,5,3
121,121,1,5
122,122,4,1
123,123,1,2
124,124,1,5
125,125,2,2
126,126,1,2
127,127,5,5
128,128,3,5
129,129,3,3
130,130,2,4
131,131,,
132,132,2,2
133,133,3,5
134,134,2,1
135,135,4,1
136,136,4,2
137,137,2,1
138,138,4,3
139,139,3,4
140,140,5,2
141,141,4,3
142,142,2,5
143,143,1,2
144,144,1,3
145,145,3,5
146,146,5,2
147,147,1,4
148,148,5,3
149,149,4,1
150,150,5,4
151,151,2,4
152,152,3,4
153,153,1,3
154,154,,
155,155,,
156,156,3,5
157,157,5,1
158,158,2,3
159,159,5,5
160,160,3,3
161,161,5,2
162,162,1,1
163,163,1,2
164,164,3,3
165,165,2,4
166,166,1,5
167,167,,
168,168,,
169,169,3,5
170,170,5,2
171,171,4,1
172,172,4,4
173,173,5,4
174,174,3,2
175,175,1,5
176,176,4,2
177,177,4,5
178,178,4,5
179,179,4,4
180,180,4,4
181,181,3,4
182,182,3,5
183,183,2,2
184,184,,
185,185,2,1
186,186,4,2
187,187,4,5
188,188,5,4
189,189,4,3
190,190,4,3
191,191,2,5
192,192,5,4
193,193,,
194,194,5,2
195,195,,
196,196,2,1
197,197,3,5
198,198,,
199,199,1,1
200,200,3,5
201,201,3,5
202,202,5,2
203,203,4,1
204,204,5,1
205,205,1,1
206,206,4,2
207,207,1,4
208,208,4,3
209,209,1,1
210,210,5,2
211,211,3,1
212,212,1,1
213,213,4,5
214,214,4,2
215,215,5,3
216,216,3,1
217,217,5,3
218,218,2,3
219,219,2,2
220,220,4,2
221,221,1,3
222,222,5,1
223,223,,
224,224,4,3
225,225,3,4
226,226,1,4
227,227,5,3
228,228,5,3
229,229,,
230,230,4,2
231,231,5,2
232,232,2,5
233,233,1,5
234,234,4,1
235,235,,
236,236,2,4
237,237,5,3
238,238,1,2
239,239,3,3
240,240,3,4
241,241,1,3
242,242,1,3
243,243,4,2
244,244,1,5
245,245,1,2
246,246,,
247,247,1,4
248,248,4,1
249,249,2,5
250,250,3,1
251,251,5,5
252,252,4,4
253,253,2,2
254,254,,
255,255,3,2
256,256,4,4
257,257,5,5
258,258,5,2
259,259,1,2
260,260,1,5
261,261,4,1
262,262,3,3
263,263,5,5
264,264,4,4
265,265,3,4
266,266,4,3
267,267,1,4
268,268,,
269,269,4,1
270,270,5,4
271,271,4,3
272,272,2,2
273,273,3,5
274,274,3,3
275,275,2,2
276,276,1,2
277,277,1,4
278,278,4,3
279,279,3,4
280,280,3,3
281,281,3,2
282,282,4,2
283,283,,
284,284,1,1
285,285,1,4
286,286,4,4
287,287,2,1
288,288,,
289,289,5,2
290,290,4,1
291,291,2,2
292,292,1,1
293,293,4,4
294,294,4,4
295,295,2,5
296,296,4,1
297,297,1,1
298,298,5,2
299,299,5,4
300,300,3,5
301,301,,
302,302,5,2
303,303,5,4
304,304,2,2
305,305,1,5
306,306,5,1
307,307,1,1
308,308,4,1
309,309,1,2
310,310,,
311,311,5,3
312,312,,
313,313,2,4
314,314,5,2
315,315,,
316,316,5,3
317,317,3,2
318,318,2,1
319,319,4,5
320,320,3,5
321,321,2,4
322,322,5,3
323,323,2,4
324,324,2,2
325,325,1,4
326,326,2,1
327,327,5,4
328,328,1,4
329,329,5,2
330,330,3,1
331,331,5,1
332,332,3,2
333,333,5,5
334,334,2,4
335,335,4,3
336,336,4,5
337,337,5,4
338,338,5,4
339,339,5,3
340,340,5,5
341,341,1,1
342,342,1,3
343,343,4,2
344,344,2,4
345,345,1,4
346,346,2,2
347,347,,
348,348,4,3
349,349,1,3
350,350,5,5
351,351,3,3
352,352,1,4
353,353,5,2
354,354,1,2
355,355,3,2
356,356,5,4
357,357,1,2
358,358,5,5
359,359,5,4
360,360,,
361,361,3,3
362,362,1,5
363,363,3,1
364,364,1,4
365,365,1,4
366,366,,
367,367,2,2
368,368,,
369,369,3,4
370,370,3,4
371,371,4,2
372,372,,
373,373,4,1
374,374,4,4
375,375,,
376,376,1,4
377,377,5,2
378,378,1,5
379,379,3,4
380,380,2,3
381,381,3,1
382,382,,
383,383,1,1
384,384,5,2
385,385,1,5
386,386,3,2
387,387,5,3
388,388,5,4
389,389,1,3
390,390,1,2
391,391,1,4
392,392,1,4
393,393,2,3
394,394,5,1
395,395,1,1
396,396,5,4
397,397,4,2
398,398,1,2
399,399,,
400,400,3,4
401,401,3,5
402,402,5,2
403,403,5,4
404,404,5,2
405,405,4,3
406,406,3,3
407,407,4,4
408,408,3,2
409,409,3,1
410,410,3,5
411,411,2,5
412,412,1,3
413,413,,
414,414,3,3
415,415,,
416,416,3,3
417,417,1,5
418,418,3,2
419,419,5,5
420,420,2,1
421,421,3,4
422,422,5,3
423,423,,
424,424,5,5
425,425,2,2
426,426,5,1
427,427,3,1
428,428,1,1
429,429,,
430,430,,
431,431,4,1
432,432,3,5
433,433,4,2
434,434,1,5
435,435,2,5
436,436,1,1
437,437,2,3
438,438,1,2
439,439,,
440,440,2,4
441,441,2,2
442,442,5,2
443,443,4,2
444,444,5,5
445,445,2,1
446,446,3,3
447,447,4,5
448,448,4,5
449,449,3,2
450,450,3,2
451,451,,
452,452,2,1
453,453,5,5
454,454,,
455,455,3,2
456,456,5,3
457,457,2,1
458,458,5,3
459,459,5,3
460,460,2,3
461,461,1,2
462,462,5,4
463,463,1,2
464,464,3,3
465,465,1,2
466,466,1,5
467,467,5,3
468,468,1,5
469,469,4,1
470,470,5,1
471,471,5,3
472,472,1,3
473,473,3,2
474,474,4,3
475,475,3,3
476,476,2,3
477,477,1,4
478,478,,
479,479,3,4
480,480,1,4
481,481,3,2
482,482,3,5
483,483,2,4
484,484,1,3
485,485,3,2
486,486,3,5
487,487,2,4
488,488,2,2
489,489,4,3
490,490,1,4
491,491,2,5
492,492,,
493,493,2,3
494,494,3,4
495,495,5,2
496,496,2,5
497,497,2,4
498,498,5,3
499,499,2,4
500,500,1,4
501,501,4,4
502,502,5,5
503,503,1,5
504,504,5,4
505,505,1,4
506,506,5,3
507,507,2,4
508,508,3,2
509,509,4,2
510,510,1,4
511,511,2,2
512,512,4,5
513,513,2,5
514,514,,
515,515,,
516,516,2,5
517,517,5,1
518,518,4,1
519,519,2,3
520,520,2,4
521,521,5,5
522,522,1,2
523,523,1,4
524,524,2,1
525,525,4,3
526,526,,
527,527,1,4
528,528,5,5
529,529,2,3
530,530,3,1
531,531,1,4
532,532,1,5
533,533,3,2
534,534,,
535,535,,
536,536,4,2
537,537,1,1
538,538,1,2
539,539,3,4
540,540,2,1
541,541,5,5
542,542,,
543,543,3,4
544,544,4,4
545,545,1,2
546,546,5,2
547,547,3,1
548,548,1,2
549,549,3,5
550,550,4,3
551,551,3,4
552,552,2,4
553,553,,
554,554,,
555,555,5,2
556,556,3,3
557,557,2,3
558,558,3,3
559,559,2,3
560,560,1,3
561,561,5,1
562,562,,
563,563,2,1
564,564,2,2
565,565,1,2
566,566,3,2
567,567,4,5
568,568,3,1
569,569,2,1
570,570,4,4
571,571,1,4
572,572,1,3
573,573,1,3
574,574,3,3
575,575,5,1
576,576,1,2
577,577,3,1
578,578,4,4
579,579,1,1
580,580,1,3
581,581,,
582,582,3,3
583,583,5,5
584,584,1,3
585,585,4,4
586,586,2,4
587,587,5,1
588,588,2,2
589,589,5,5
590,590,3,1
591,591,,
592,592,4,5
593,593,3,4
594,594,2,4
595,595,2,1
596,596,5,3
597,597,4,4
598,598,4,2
599,599,5,2
600,600,,
601,601,1,2
602,602,1,5
603,603,5,1
604,604,4,5
605,605,3,5
606,606,4,1
607,607,4,3
608,608,3,4
609,609,3,2
610,610,3,3
611,611,3,2
612,612,1,2
613,613,1,4
614,614,3,3
615,615,4,3
616,616,4,1
617,617,3,4
618,618,2,2
619,619,3,5
620,620,2,2
621,621,1,2
622,622,2,4
623,623,1,3
624,624,4,1
625,625,1,2
626,626,2,5
627,627,2,3
628,628,3,4
629,629,1,2
630,630,4,3
631,631,5,1
632,632,1,5
633,633,1,1
634,634,2,1
635,635,2,4
636,636,1,2
637,637,4,3
638,638,2,1
639,639,4,3
640,640,4,2
641,641,2,1
642,642,3,5
